# y+ ()       
# Time        	patch         	min           	max           	average       
387           	pipe	1.466367e+01	5.684677e+01	4.839687e+01
388           	pipe	1.466367e+01	5.684677e+01	4.839733e+01
389           	pipe	1.466367e+01	5.684677e+01	4.839781e+01
390           	pipe	1.466367e+01	5.684677e+01	4.839831e+01
391           	pipe	1.466367e+01	5.684677e+01	4.839883e+01
392           	pipe	1.466367e+01	5.684677e+01	4.839937e+01
393           	pipe	1.466367e+01	5.684677e+01	4.839992e+01
394           	pipe	1.466367e+01	5.684677e+01	4.840049e+01
395           	pipe	1.466367e+01	5.684677e+01	4.840108e+01
396           	pipe	1.466367e+01	5.684677e+01	4.840167e+01
397           	pipe	1.466367e+01	5.684677e+01	4.840228e+01
398           	pipe	1.466367e+01	5.684677e+01	4.840290e+01
399           	pipe	1.466367e+01	5.684677e+01	4.840352e+01
400           	pipe	1.466367e+01	5.684677e+01	4.840415e+01
401           	pipe	1.466367e+01	5.684677e+01	4.840479e+01
402           	pipe	1.466367e+01	5.684677e+01	4.840543e+01
403           	pipe	1.466367e+01	5.684677e+01	4.840608e+01
404           	pipe	1.466367e+01	5.684677e+01	4.840673e+01
405           	pipe	1.466367e+01	5.684677e+01	4.840739e+01
406           	pipe	1.466367e+01	5.684677e+01	4.840804e+01
407           	pipe	1.466367e+01	5.684677e+01	4.840870e+01
408           	pipe	1.466367e+01	5.684677e+01	4.840936e+01
409           	pipe	1.466367e+01	5.684677e+01	4.841002e+01
410           	pipe	1.466367e+01	5.684677e+01	4.841069e+01
411           	pipe	1.466367e+01	5.684677e+01	4.841135e+01
412           	pipe	1.466367e+01	5.684677e+01	4.841201e+01
413           	pipe	1.466367e+01	5.684677e+01	4.841267e+01
414           	pipe	1.466367e+01	5.684677e+01	4.841333e+01
415           	pipe	1.466367e+01	5.684677e+01	4.841400e+01
416           	pipe	1.466367e+01	5.684677e+01	4.841466e+01
417           	pipe	1.466367e+01	5.684677e+01	4.841531e+01
418           	pipe	1.466367e+01	5.684677e+01	4.841597e+01
419           	pipe	1.466367e+01	5.684677e+01	4.841663e+01
420           	pipe	1.466367e+01	5.684677e+01	4.841728e+01
421           	pipe	1.466367e+01	5.684677e+01	4.841794e+01
422           	pipe	1.466367e+01	5.684677e+01	4.841859e+01
423           	pipe	1.466367e+01	5.684677e+01	4.841924e+01
424           	pipe	1.466367e+01	5.684677e+01	4.841989e+01
425           	pipe	1.466367e+01	5.684677e+01	4.842054e+01
426           	pipe	1.466367e+01	5.684677e+01	4.842119e+01
427           	pipe	1.466367e+01	5.684677e+01	4.842183e+01
428           	pipe	1.466367e+01	5.684677e+01	4.842248e+01
429           	pipe	1.466367e+01	5.684677e+01	4.842312e+01
430           	pipe	1.466367e+01	5.684677e+01	4.842376e+01
431           	pipe	1.466367e+01	5.684677e+01	4.842440e+01
432           	pipe	1.466367e+01	5.684677e+01	4.842504e+01
433           	pipe	1.466367e+01	5.684677e+01	4.842568e+01
434           	pipe	1.466367e+01	5.684677e+01	4.842631e+01
435           	pipe	1.466367e+01	5.684677e+01	4.842695e+01
436           	pipe	1.466367e+01	5.684677e+01	4.842758e+01
437           	pipe	1.466367e+01	5.684677e+01	4.842821e+01
438           	pipe	1.466367e+01	5.684677e+01	4.842885e+01
439           	pipe	1.466367e+01	5.684677e+01	4.842948e+01
440           	pipe	1.466367e+01	5.684677e+01	4.843010e+01
441           	pipe	1.466367e+01	5.684677e+01	4.843073e+01
442           	pipe	1.466367e+01	5.684677e+01	4.843136e+01
443           	pipe	1.466367e+01	5.684677e+01	4.843199e+01
444           	pipe	1.466367e+01	5.684677e+01	4.843261e+01
445           	pipe	1.466367e+01	5.684677e+01	4.843323e+01
446           	pipe	1.466367e+01	5.684677e+01	4.843386e+01
447           	pipe	1.466367e+01	5.684677e+01	4.843448e+01
